,MAE_MW,RMSE_MW,MAPE_%,bias_MW,skill_vs_naive
mlp,1173.6413104853457,1635.807053060664,2.2022803398097395,260.3528544920176,0.5142096167637117
gbm,1177.9723554724967,1618.069933896165,2.2188913573811706,113.02941681635318,0.5124169225347981
entsoe_benchmark,1761.8380933750652,2252.6826272191474,3.2180903417468656,-608.172730829421,0.2707448221748231
ridge,1825.5337498636593,2514.882749786949,3.4590056215784744,236.20181044550685,0.24438009123050664
seasonal_naive,2415.9418362023994,4184.074564855063,4.546991742094152,-54.6461919666145,0.0
mean_last_4_weeks,2648.455594679186,4134.10855348426,4.944667870752222,74.68961919666145,-0.09624145539955276
yesterday,4339.765323422013,6619.894415160978,8.08739795621739,-15.548317683881065,-0.7963037265183741
