,MAE_MW,RMSE_MW,MAPE_%,bias_MW,skill_vs_naive
gbm,1200.6091547577466,1623.2356155774319,2.2743993684657697,257.98005616233,0.5030471608352232
mlp,1213.4659026919796,1654.0612509894681,2.2797378612438766,348.85060086429496,0.4977255310916684
entsoe_benchmark,1761.8380933750652,2252.6826272191474,3.2180903417468656,-608.172730829421,0.2707448221748231
ridge,1837.1074071063315,2525.85878054405,3.478700638123331,287.2165506200886,0.23958955485697175
seasonal_naive,2415.9418362023994,4184.074564855063,4.546991742094152,-54.6461919666145,0.0
mean_last_4_weeks,2648.455594679186,4134.10855348426,4.944667870752222,74.68961919666145,-0.09624145539955276
yesterday,4339.765323422013,6619.894415160978,8.08739795621739,-15.548317683881065,-0.7963037265183741
